mAp[eV],eps
1.00E-14,0.001
1.06E-14,9.24387E-06
1.38E-14,8.93757E-06
1.91E-14,8.07825E-06
2.13E-14,5.39147E-06
2.13E-14,3.98107E-06
2.13E-14,2.93963E-06
2.13E-14,2.0987E-06
2.13E-14,1.6028E-06
2.13E-14,1.10638E-06
2.13E-14,8.45E-07
2.13E-14,5.83E-07
2.13E-14,4.03E-07
2.37E-14,3.18E-07
3.65E-14,2.69E-07
5.32E-14,2.35E-07
9.63E-14,2.05E-07
1.94E-13,1.79E-07
3.15E-13,1.57E-07
3.91E-13,1.32E-07
4.13E-13,1.85E-07
4.13E-13,2.97E-07
4.13E-13,4.76E-07
4.13E-13,7.90E-07
4.36E-13,1.71453E-06
4.60E-13,3.72162E-06
5.41E-13,4.71163E-06
6.02E-13,3.5983E-06
8.32E-13,3.84916E-06
1.09E-12,4.11751E-06
1.35E-12,3.72162E-06
1.87E-12,3.84916E-06
2.73E-12,3.36379E-06
4.43E-12,3.04037E-06
6.82E-12,2.84223E-06
1.11E-11,2.48383E-06
1.71E-11,2.17063E-06
2.36E-11,1.83406E-06
3.26E-11,1.54969E-06
4.50E-11,1.22407E-06
5.90E-11,0.000001
8.15E-11,7.64E-07
1.13E-10,5.64E-07
1.47E-10,4.61E-07
1.93E-10,3.52E-07
2.53E-10,2.69E-07
3.31E-10,2.12E-07
4.34E-10,1.62E-07
5.68E-10,1.24E-07
7.04E-10,9.78E-08
9.22E-10,6.98E-08
1.08E-09,5.15E-08
1.21E-09,4.66E-08
1.58E-09,4.66E-08
2.86E-09,4.07E-08
4.65E-09,3.81E-08
6.78E-09,3.68E-08
1.04E-08,3.56E-08
1.61E-08,3.33E-08
3.42E-08,3.22E-08
6.89E-08,3.11E-08
2.38E-07,3.01E-08
3.67E-07,3.01E-08
4.55E-07,3.01E-08
7.01E-07,3.01E-08
1.13817E-06,3.01E-08
2.05976E-06,3.01E-08
3.34649E-06,3.01E-08
8.36983E-06,3.01E-08
1.78068E-05,3.01E-08
3.99828E-05,3.01E-08
4.96078E-05,3.01E-08
5.23564E-05,3.44E-08
5.52572E-05,0.001
