# mass [eV], kinetic mixing [dimensionless]
3.27E-18,0.659957631
3.49E-18,0.624335092
3.74E-18,0.589240823
4.01E-18,0.556465276
4.29E-18,0.524859412
4.60E-18,0.495664975
4.92E-18,0.46794886
5.27E-18,0.441645159
5.65E-18,0.416949672
6.05E-18,0.393512668
6.48E-18,0.371624176
6.94E-18,0.350516834
7.43E-18,0.331019915
7.96E-18,0.312413077
8.52E-18,0.294943864
9.13E-18,0.278451478
9.78E-18,0.262717818
1.05E-17,0.246412653
1.12E-17,0.229972125
1.20E-17,0.214628501
1.29E-17,0.200246303
1.38E-17,0.186944108
1.48E-17,0.174471291
1.58E-17,0.162729394
1.69E-17,0.151872171
1.81E-17,0.141739337
1.94E-17,0.132200297
2.08E-17,0.12337996
2.23E-17,0.115148111
2.38E-17,0.107465487
2.55E-17,0.100295444
2.74E-17,0.093603783
2.93E-17,0.087331418
3.14E-17,0.081479363
3.36E-17,0.07609042
3.60E-17,0.071057895
3.85E-17,0.066316948
4.13E-17,0.061930828
4.42E-17,0.0578348
4.74E-17,0.054009678
5.07E-17,0.050437546
5.43E-17,0.047072378
5.82E-17,0.04395907
6.23E-17,0.041051672
6.67E-17,0.038336566
7.15E-17,0.035778769
7.65E-17,0.033412406
8.20E-17,0.031202551
8.78E-17,0.029138854
9.40E-17,0.027211646
1.01E-16,0.025411902
1.08E-16,0.023775519
1.16E-16,0.02225143
1.24E-16,0.02082504
1.32E-16,0.019484025
1.42E-16,0.018229364
1.52E-16,0.017060801
1.63E-16,0.015972115
1.74E-16,0.014938953
1.87E-16,0.013985667
2.00E-16,0.013089139
2.14E-16,0.012242464
2.29E-16,0.011461246
2.46E-16,0.010723207
2.63E-16,0.010038936
2.82E-16,0.009389564
3.02E-16,0.008787662
3.23E-16,0.008260235
3.46E-16,0.007827508
3.71E-16,0.007422066
3.97E-16,0.007042003
4.25E-16,0.006677248
4.55E-16,0.006329417
4.88E-16,0.006003439
5.22E-16,0.00569602
5.59E-16,0.005400983
5.99E-16,0.005119635
6.42E-16,0.004855963
6.87E-16,0.004605871
7.36E-16,0.004368659
7.88E-16,0.004141087
8.44E-16,0.00392659
9.04E-16,0.003725521
9.68E-16,0.003533649
1.04E-15,0.003388345
1.11E-15,0.003282535
1.19E-15,0.00318003
1.27E-15,0.003089362
1.36E-15,0.003024707
1.46E-15,0.00296417
1.57E-15,0.002907556
1.68E-15,0.002878761
1.80E-15,0.002844405
1.92E-15,0.002840515
2.06E-15,0.002841399
2.21E-15,0.002860908
2.36E-15,0.002881448
2.53E-15,0.002912081
2.71E-15,0.00296417
2.90E-15,0.003021886
3.11E-15,0.003084561
3.33E-15,0.003158344
3.57E-15,0.003238925
3.82E-15,0.00332053
4.09E-15,0.003405249
4.38E-15,0.00349213
4.69E-15,0.003589033
5.02E-15,0.003682893
5.38E-15,0.003796881
5.76E-15,0.003913179
6.17E-15,0.004034294
6.61E-15,0.004199455
7.08E-15,0.004387723
7.58E-15,0.004585858
8.12E-15,0.004843895
8.70E-15,0.005186954
9.31E-15,0.005566415
9.94E-15,0.005980329
1.05E-14,0.006478802
1.11E-14,0.006997245
1.16E-14,0.007557174
1.22E-14,0.008154932
1.27E-14,0.008715076
1.32E-14,0.009407103
1.37E-14,0.010212148
1.42E-14,0.011086086
1.49E-14,0.012117449
1.54E-14,0.013039926
1.59E-14,0.014064672
1.63E-14,0.015206758
1.67E-14,0.016395552
1.72E-14,0.017742079
1.77E-14,0.019289727
1.82E-14,0.020876922
1.86E-14,0.022499359
1.91E-14,0.024247883
1.95E-14,0.026050993
2.01E-14,0.028340356
2.04E-14,0.030988698
2.08E-14,0.033923188
2.12E-14,0.037252211
2.16E-14,0.040683052
2.20E-14,0.044505935
2.24E-14,0.04875287
2.28E-14,0.0532176
2.33E-14,0.05851231
2.37E-14,0.064053162
2.42E-14,0.070392463
2.45E-14,0.076388526
2.50E-14,0.084027331
2.53E-14,0.095399654
2.57E-14,0.109054803
2.60E-14,0.124621853
2.63E-14,0.142606056
2.66E-14,0.162962387
2.70E-14,0.186224487
2.73E-14,0.21280714
2.76E-14,0.243434075
2.80E-14,0.278278316
2.83E-14,0.318110031
2.87E-14,0.363518714
2.91E-14,0.415409268
2.94E-14,0.474706951
2.98E-14,0.542654724
3.02E-14,0.620965326
3.05E-14,0.709119753
3.09E-14,0.808958143
3.13E-14,0.927601286
5.10E-15,0.805741914
5.30E-15,0.881319347
5.41E-15,0.965860696
