mAp[eV],eps
1.91E-15,1
1.98E-15,3.96005E-05
2.04E-15,2.21222E-05
2.19E-15,1.4485E-05
2.69E-15,7.67463E-06
3.54E-15,4.76608E-06
5.34E-15,2.80722E-06
7.79E-15,1.93801E-06
1.55E-14,1.08264E-06
2.97E-14,6.72E-07
5.50E-14,4.64E-07
1.17E-13,3.20E-07
2.02E-13,2.59E-07
3.63E-13,2.33E-07
5.47E-13,2.21E-07
9.48E-13,2.33E-07
1.25E-12,2.46E-07
1.53E-12,2.73E-07
2.23E-12,3.56E-07
2.74E-12,4.89E-07
3.04E-12,7.09E-07
3.15E-12,8.76E-07
3.37E-12,2.15443E-06
4.43E-12,2.15443E-06
8.22E-12,1.93801E-06
1.28E-11,1.74333E-06
2.22E-11,1.41067E-06
3.47E-11,1.08264E-06
5.06E-11,8.31E-07
7.90E-11,5.74E-07
1.28E-10,3.76E-07
2.06E-10,2.46E-07
3.57E-10,1.45E-07
5.39E-10,9.48E-08
7.60E-10,6.55E-08
1.00E-09,4.52E-08
