mAp[eV],eps
1.20E-16,1.6
2.47E-16,0.317431605
2.67E-16,0.264510091
2.89E-16,0.220411537
3.38E-16,0.162637662
3.81E-16,0.127529472
4.28E-16,0.1
4.82E-16,0.078413247
5.42E-16,0.061486373
5.87E-16,0.054446955
6.35E-16,0.045369676
7.14E-16,0.035575836
8.36E-16,0.026250762
9.40E-16,0.020584075
1.10E-15,0.015188614
1.24E-15,0.011909886
1.39E-15,0.009338928
1.57E-15,0.007322957
1.70E-15,0.00648457
1.83E-15,0.005403477
1.91E-15,0.005084762
1.98E-15,4.93E-07
2.06E-15,3.22E-07
2.15E-15,2.53E-07
2.32E-15,1.75E-07
2.61E-15,1.29E-07
2.94E-15,1.02E-07
3.31E-15,7.96E-08
4.19E-15,5.87E-08
5.10E-15,4.61E-08
5.96E-15,3.84E-08
7.26E-15,3.20E-08
8.84E-15,2.67E-08
9.94E-15,2.36E-08
1.26E-14,1.97E-08
1.47E-14,1.74E-08
1.72E-14,1.54E-08
2.02E-14,1.37E-08
2.36E-14,1.21E-08
2.76E-14,1.07E-08
3.36E-14,9.48E-09
4.09E-14,8.40E-09
5.18E-14,7.44E-09
6.31E-14,6.58E-09
7.10E-14,6.20E-09
7.99E-14,5.83E-09
1.05E-13,5.16E-09
1.39E-13,4.57E-09
1.62E-13,4.30E-09
1.90E-13,4.05E-09
2.50E-13,3.81E-09
3.29E-13,3.58E-09
4.16E-13,3.58E-09
6.94E-13,3.58E-09
9.14E-13,3.58E-09
1.25E-12,3.81E-09
1.47E-12,4.05E-09
1.65E-12,4.30E-09
1.78E-12,4.57E-09
2.09E-12,5.16E-09
2.35E-12,5.83E-09
2.64E-12,7.00E-09
2.86E-12,8.40E-09
2.97E-12,9.48E-09
3.09E-12,1.21E-08
3.22E-12,1.74E-08
3.34E-12,3.01E-08
3.48E-12,4.08E-08
5.36E-12,3.84E-08
6.79E-12,3.61E-08
8.59E-12,3.40E-08
1.22E-11,3.01E-08
1.61E-11,2.67E-08
2.04E-11,2.36E-08
2.58E-11,2.09E-08
3.02E-11,1.85E-08
3.68E-11,1.64E-08
4.31E-11,1.45E-08
5.04E-11,1.29E-08
6.13E-11,1.07E-08
7.77E-11,8.92E-09
1.02E-10,7.00E-09
1.24E-10,5.83E-09
1.52E-10,4.86E-09
1.84E-10,4.05E-09
2.25E-10,3.37E-09
2.84E-10,2.65E-09
3.46E-10,2.20E-09
4.38E-10,1.73E-09
5.33E-10,1.44E-09
6.00E-10,1.28E-09
7.30E-10,1.06E-09
