Center Freq(GHz),I Sensitivity(Jy/sr rt(sec)),Pixel Noise(Jy/sr)
28.8,6.09E+04,3.03E+03
38.4,4.91E+04,2.44E+03
48,4.11E+04,2.04E+03
57.6,1.04E+04,5.18E+02
76.8,8.34E+03,4.15E+02
96.1,7.22E+03,3.59E+02
115.3,6.67E+03,3.32E+02
134.5,6.82E+03,3.39E+02
153.7,6.33E+03,3.15E+02
172.9,6.28E+03,3.12E+02
192.1,6.49E+03,3.23E+02
211.3,7.16E+03,3.56E+02
230.5,8.75E+03,4.35E+02
249.8,1.01E+04,5.00E+02
269,1.14E+04,5.67E+02
288.2,1.20E+04,5.95E+02
307.4,1.17E+04,5.83E+02
326.6,1.16E+04,5.76E+02
345.8,1.03E+04,5.12E+02
365,1.02E+04,5.08E+02
384.2,9.56E+03,4.75E+02
403.4,9.16E+03,4.56E+02
422.7,8.84E+03,4.40E+02
441.9,8.74E+03,4.35E+02
461.1,9.42E+03,4.68E+02
480.3,9.68E+03,4.81E+02
499.5,1.10E+04,5.45E+02
518.7,1.12E+04,5.55E+02
537.9,1.15E+04,5.73E+02
557.1,1.15E+04,5.74E+02
576.4,1.13E+04,5.64E+02
595.6,1.10E+04,5.49E+02
614.8,1.10E+04,5.45E+02
634,1.07E+04,5.33E+02
653.2,1.05E+04,5.23E+02
672.4,1.04E+04,5.15E+02
691.6,1.04E+04,5.17E+02
710.8,1.08E+04,5.36E+02
730.1,1.15E+04,5.70E+02
749.3,1.23E+04,6.10E+02
768.5,1.29E+04,6.42E+02
787.7,1.33E+04,6.61E+02
806.9,1.34E+04,6.68E+02
826.1,1.33E+04,6.63E+02
845.3,1.32E+04,6.54E+02
864.5,1.31E+04,6.53E+02
883.7,1.29E+04,6.44E+02
903,1.28E+04,6.39E+02
922.2,1.29E+04,6.40E+02
941.4,1.30E+04,6.47E+02
960.6,1.33E+04,6.59E+02
979.8,1.36E+04,6.77E+02
999,1.41E+04,7.00E+02
1018.2,1.46E+04,7.28E+02
1037.4,1.53E+04,7.60E+02
1056.7,1.59E+04,7.91E+02
1075.9,1.65E+04,8.19E+02
1095.1,1.69E+04,8.39E+02
1114.3,1.72E+04,8.53E+02
1133.5,1.73E+04,8.59E+02
1152.7,1.73E+04,8.58E+02
1171.9,1.72E+04,8.54E+02
1191.1,1.71E+04,8.50E+02
1210.3,1.71E+04,8.51E+02
1229.6,1.73E+04,8.58E+02
1248.8,1.76E+04,8.74E+02
1268,1.81E+04,8.99E+02
1287.2,1.87E+04,9.31E+02
1306.4,1.95E+04,9.67E+02
1325.6,2.02E+04,1.01E+03
1344.8,2.08E+04,1.03E+03
1364,2.14E+04,1.07E+03
1383.3,2.19E+04,1.09E+03
1402.5,2.22E+04,1.11E+03
1421.7,2.24E+04,1.11E+03
1440.9,2.24E+04,1.11E+03
1460.1,2.24E+04,1.12E+03
1479.3,2.25E+04,1.12E+03
1498.5,2.27E+04,1.13E+03
1517.7,2.31E+04,1.15E+03
1536.9,2.37E+04,1.18E+03
1556.2,2.45E+04,1.22E+03
1575.4,2.54E+04,1.26E+03
1594.6,2.61E+04,1.30E+03
1613.8,2.71E+04,1.35E+03
1633,2.79E+04,1.39E+03
1652.2,2.87E+04,1.43E+03
1671.4,2.92E+04,1.45E+03
1690.6,2.95E+04,1.47E+03
1709.9,2.97E+04,1.48E+03
1729.1,2.98E+04,1.48E+03
1748.3,3.00E+04,1.49E+03
1767.5,3.03E+04,1.51E+03
1786.7,3.08E+04,1.53E+03
1805.9,3.15E+04,1.57E+03
1825.1,3.24E+04,1.61E+03
1844.3,3.33E+04,1.66E+03
1863.6,3.45E+04,1.72E+03
1882.8,3.57E+04,1.78E+03
1902,3.69E+04,1.84E+03
1921.2,3.79E+04,1.89E+03
1940.4,3.87E+04,1.93E+03
1959.6,3.93E+04,1.95E+03
1978.8,3.97E+04,1.97E+03
1998,4.00E+04,1.99E+03
2017.2,4.03E+04,2.00E+03
2036.5,4.07E+04,2.03E+03
2055.7,4.14E+04,2.06E+03
