nu[GHz],Del_I[Jy/sr]
0,0
24,0
24.02601911,13.59356391
33.76051717,13.59356391
33.76051717,11.22018454
43.28761281,11.22018454
43.28761281,9.261187281
52.67334623,9.261187281
52.67334623,2.610157216
67.53757371,2.610157216
67.53757371,2.073321573
86.59643234,2.073321573
86.59643234,1.77827941
105.3724973,1.77827941
105.3724973,1.646897865
124.9081882,1.646897865
124.9081882,1.584893192
144.2417255,1.584893192
164.402755,1.584893192
182.5423496,1.584893192
200.0489903,1.584893192
200.0489903,1.77827941
222.1216593,1.77827941
222.1216593,2.073321573
240.2601911,2.073321573
240.2601911,2.511886432
259.8799217,2.511886432
259.8799217,2.818382931
277.4481403,2.818382931
277.4481403,2.928644565
300.1046518,2.928644565
316.227766,2.928644565
316.227766,2.712272579
337.6051717,2.712272579
337.6051717,2.610157216
355.7430004,2.610157216
355.7430004,2.417315481
374.8552834,2.417315481
389.8603703,2.417315481
389.8603703,2.238721139
410.805608,2.238721139
427.2497509,2.238721139
456.1323863,2.238721139
474.3909153,2.417315481
493.3803153,2.610157216
506.4603544,2.712272579
526.7334623,2.818382931
547.8180827,2.818382931
569.7466997,2.818382931
608.262313,2.712272579
649.3816316,2.610157216
684.269642,2.610157216
730.5271543,2.818382931
769.7747057,3.16227766
800.5880271,3.414548874
854.7088126,3.285993248
912.488233,3.16227766
974.173617,3.285993248
1013.168825,3.548133892
1067.601293,3.981071706
1124.958143,4.298662347
1216.822615,4.298662347
1299.081397,4.823178482
1368.87451,5.411695265
1480.657277,5.623413252
1560.205549,6.072021957
1622.659037,6.812920691
1665.677461,7.356422545
1778.27941,7.644222743
1923.494324,9.261187281
2053.525026,10
2221.216593,13.08177474
2340.551394,14.12537545
2498.775693,17.7827941
2598.799217,19.20141939
2774.481403,23.26305067
2923.540341,27.12272579
3080.607466,32.85993248
3288.860513,41.36820402
3465.554454,50.11872336
3651.741273,63.09573445
3898.603703,82.54041853
4216.965034,116.5914401
4443.521366,152.5222957
4743.909153,215.443469
5198.871593,341.4548874
5478.180827,482.3178482
6003.563256,794.3282347
